unique_id,new_block,now_trt,future,old_block,indiv,cross,colors,first_flower,wilt1,wilt2,wilt3,wilt4,wilt5,wilt6,wilt7,wilt8,wilt9,dead1,dead2,dead3
269,7,drought,early drought,46,5,T2311-6xL1502-12,Y_Y,,,28-mar,,12-Apr,,26-Apr,,,,,,
271,7,drought,early drought,21,5,B1207-2xB1127-2,M_M,24-Apr,,26-mar,,12-Apr,,25-Apr,,,,,,
273,9,water,water,8,6,V2118-7xL2221-11,Y_Y,,,,,,,,,,,,,
275,9,water,water,8,3,V2118-7xL2221-11,Y_Y,24-Apr,,,,,,,,,,,,
277,9,water,late drought,8,2,V2118-7xL2221-11,Y_Y,,,,,,,30-Apr,,,,,,
278,9,water,late drought,13,12,B1223-1xB1613-3,M_M,19-Apr,,,,,,26-Apr,,,,,,
279,7,drought,early drought,8,5,V2118-7xL2221-11,Y_Y,25-Apr,,28-mar,,12-Apr,,30-Apr,,,,,,
282,9,water,water,16,8,B2913-2xP2409-9,M_M,25-Apr,,,,,,,,,,,,
288,7,drought,early drought,36,5,T3105-1xT2813-2,Y_Y,,,,,,,30-Apr,,,,,,
289,9,water,late drought,21,2,B1207-2xB1127-2,M_M,,,,,,,02-may,,,,,,
291,10,drought,early drought,21,4,B1207-2xB1127-2,M_M,,,26-mar,,8-Apr,24-Apr,,,,,,,
294,9,water,late drought,11,6,T2420-1xT3105-1,Y_Y,,,,,,,30-Apr,,,,,,
295,10,drought,early drought,19,2,P513-10xB2324-3,M_M,24-may,,28-mar,,8-Apr,24-Apr,,,,,,,
296,10,drought,early drought,32,7,T2930-2xT829-3,Y_Y,,,26-mar,,8-Apr,,25-Apr,,,,,1,
297,9,water,late drought,21,6,B1207-2xB1127-2,M_M,03-may,,,,,,30-Apr,,,,,,
298,10,drought,early drought,19,4,P513-10xB2324-3,M_M,,,26-mar,,8-Apr,24-Apr,,,,,,,
300,9,water,water,30,6,V2519-8xL1502-12,Y_Y,07-may,,,,,,,,,,,,
305,9,water,water,42,2,B2324-4xP513-10,M_M,,,,,,,,,,,,,
306,11,water,late drought,34,9,P2409-9xB2913-2,M_M,,,,,,24-Apr,,,,,1,,
307,10,drought,early drought,13,5,B1223-1xB1613-3,M_M,25-Apr,,26-mar,,9-Apr,24-Apr,,,20-may,,,,
309,11,water,water,26,1,T829-3xT2930-2,Y_Y,24-Apr,,,,12-Apr,24-Apr,,14-may,,,,,
310,11,water,late drought,44,5,P1423-7xB2315-1,M_M,,,,,,24-Apr,,,,,1,,
311,11,water,water,23,8,B2315-1xP1423-7,M_M,10-may,,,,,24-Apr,02-may,14-may,,,,,
312,11,water,water,15,1,T2803-1xT2505-3,Y_Y,30-Apr,,,,,24-Apr,,14-may,,,,,
313,11,water,late drought,27,6,B723-3xT2930-2,M_Y,24-Apr,,,,,24-Apr,,,,,1,,
316,11,water,late drought,45,1,T515-6xL624-9,Y_Y,,,,,,24-Apr,,,,,1,,
317,10,drought,early drought,18,6,B1613-3xT2930-2,M_Y,24-Apr,,26-mar,,9-Apr,24-Apr,,,,,,,
